year,beta_neighbor,se,p,r2,n
1994,0.8821153312011147,0.008313108316108715,0.0,0.449725863593203,24135
1995,0.8797163998926578,0.008499598114626321,0.0,0.44736750938157066,22524
1996,0.8660355962377115,0.009052150164476596,0.0,0.43238814145273874,20502
1997,0.8636640074211577,0.009346946024850563,0.0,0.43137793924651335,18699
1998,0.85430088518928,0.009665112583843423,0.0,0.42368592814335027,17514
1999,0.8399409476129339,0.01015366399951894,0.0,0.41096337375411185,16354
2000,0.8233494099865821,0.010571863879098267,0.0,0.3944985642946188,15844
2001,0.8098988583589044,0.010679066774732356,0.0,0.3829024440704637,15893
2002,0.7889941376734697,0.010700656141514055,0.0,0.37109899756614495,16323
2003,0.784593152738339,0.010678603797104367,0.0,0.36821591121028907,16293
2004,0.7719841126050555,0.011220321993712729,0.0,0.3583840682012982,15495
2005,0.7516908752055935,0.012125787778828428,0.0,0.3447224652369175,13885
2006,0.7363117907338361,0.013126482410989276,0.0,0.3363966874057398,12069
2007,0.7236938982084292,0.013921276632542844,0.0,0.3391614306084534,10370
2008,0.7097911967193424,0.014915019957206135,0.0,0.3374335649494369,8717
2009,0.687812560747758,0.01640512167490475,0.0,0.32198566094559644,7033
2010,0.6677543547676338,0.01776288334457313,2.83138313071774e-309,0.3133338180785087,6073
2011,0.6492237399404489,0.018518643270865307,2.9609545344422607e-269,0.31125469808658335,5442
2012,0.6468528647201424,0.019975719113506676,4.926743473649434e-230,0.3055004791184126,4810
2013,0.6548189475781385,inf,1.0,0.31428637202860576,4237
2014,0.6473702150165813,0.024556239154010097,3.6649345142587304e-153,0.30901768810718766,3458
2015,0.6226673791604953,0.028810962926476245,1.3801306709945254e-103,0.29458593853891113,2548
2016,0.6009888852797644,0.037712437661795314,3.559267838104115e-57,0.3000308443816274,1715
2017,0.5898998267567561,0.054672305940007916,3.848875385314458e-27,0.3226779200445301,949
2018,0.6607904522686171,0.11048761803307602,2.222158675381591e-09,0.31749440622515535,382
